,from_master,demand_from
273,Flushing - Main St_0,23237.1874236
318,Jamaica - 179 St_0,18594.8377718
279,Forest Hills - 71 Av_0,14848.016169
323,Junction Blvd_0,14077.2151895
42,169 St_0,13584.9864426
84,30 Av_0,12865.5183053
194,Bedford Av_0,11314.2446065
165,Astoria Blvd_0,11206.3729037
346,Mets - Willets Point_0,11034.4312596
377,Parkchester_0,9740.53573395
260,E 105 St_0,9688.09330299
155,90 St - Elmhurst Av_0,9244.183317
326,Kings Hwy_0,9222.60669866
320,Jamaica Center - Parsons/Archer_0,9180.23228908
145,82 St - Jackson Hts_0,9060.59356515
1,103 St - Corona Plaza_0,8856.3487688
251,Crown Hts - Utica Av_0,8594.42923624
164,Astoria - Ditmars Blvd_0,8434.59212757
366,Newkirk Av_0,8147.8327612
434,Woodhaven Blvd_0,8146.84331455
124,67 Av_0,8125.16683461
121,63 Dr - Rego Park_0,8029.53612774
148,86 St_1,7700.01080436
411,Sutter Av - Rutland Rd_0,7589.49495706
294,Grand Av - Newtown_0,7496.17640262
213,Broadway_1,7445.56504029
224,Canarsie - Rockaway Pkwy_0,7437.23671759
379,Parsons Blvd_0,7242.11353675
398,Saratoga Av_0,7160.6028145
8,111 St_0,7078.92282992
270,Euclid Av_0,7030.28062856
304,Halsey St_1,6898.87234186
28,145 St_0,6764.92773725
278,Forest Av_0,6742.61626526
128,7 Av_1,6703.20779165
317,Jackson Hts - Roosevelt Av_0,6694.88851916
176,Avenue U_2,6654.12458682
437,Woodside - 61 St_0,6610.02949657
372,Nostrand Av_1,6600.65835699
118,59 St_1,6542.03595066
364,New Lots Av_1,6526.03636274
325,Kew Gardens - Union Tpke_0,6516.1818576
156,96 St_0,6511.12872161
199,Beverley Rd_0,6491.54206972
200,Beverly Rd_0,6431.30691737
367,Newkirk Plaza_0,6411.32204143
245,Cortelyou Rd_0,6324.52115993
272,Flatbush Av - Brooklyn College_0,6289.60313542
137,77 St_1,6190.054825
171,Avenue M_0,6081.44778782
236,Church Av_1,6070.33699273
399,Seneca Av_0,5999.21502299
284,Franklin Av_1,5995.99183293
38,167 St_0,5820.12344966
409,Sutphin Blvd - Archer Av - JFK Airport_0,5743.22181311
359,Neck Rd_0,5657.38467605
206,Briarwood - Van Wyck Blvd_0,5574.19543033
342,Lorimer St_1,5553.05992841
91,36 Av_0,5504.31956458
400,Sheepshead Bay_0,5450.97141121
131,72 St_0,5437.72925419
378,Parkside Av_0,5432.79192962
133,74 St - Broadway_0,5390.33644352
134,75 Av_0,5380.00501488
73,231 St_0,5351.60048955
143,80 St_0,5329.55824327
417,Utica Av_0,5299.76321097
287,Fresh Pond Rd_0,5296.83162743
198,Bergen St_1,5263.09966347
256,Delancey St_0,5186.41700772
146,85 St - Forest Pkwy_0,5112.48029363
183,Bay Ridge Av_0,5111.09053654
157,96 St_1,5065.1316861
193,Bedford - Nostrand Avs_0,5061.7510802
154,9 St_0,5037.86612146
100,46 St_0,4984.45599968
43,170 St_0,4939.00601699
170,Avenue J_0,4889.12158666
126,69 St_0,4778.62549715
54,181 St_1,4771.23464354
255,DeKalb Av_1,4747.70059529
18,125 St_2,4683.28103662
407,Steinway St_0,4664.95811155
268,Elmhurst Av_0,4661.48063218
354,Mt Eden Av_0,4639.21541057
101,46 St_1,4622.05251638
330,Kingsbridge Rd_1,4609.24336845
32,15 St - Prospect Park_0,4605.07384448
243,Clinton - Washington Avs_1,4573.5106522
414,Tremont Av_0,4554.7465231
374,Ozone Park - Lefferts Blvd_0,4537.37230202
147,86 St_0,4480.8131566
435,Woodhaven Blvd_1,4476.53410908
356,Myrtle - Wyckoff Avs_0,4474.84480801
49,18 Av_0,4471.79003715
168,Avenue H_0,4465.8562305
9,111 St_1,4463.65397716
302,Gun Hill Rd_1,4452.54436622
21,135 St_1,4424.68992195
139,79 St_1,4424.0095644
292,Graham Av_0,4412.8052323
151,86 St_5,4406.67960924
369,Norwood - 205 St_0,4357.35662813
240,Classon Av_0,4356.48027258
332,Kingston Av_0,4349.71563284
19,125 St_3,4339.02119478
129,7 Av_2,4332.19252016
96,40 St_0,4298.90726355
433,Winthrop St_0,4291.10328374
136,77 St_0,4289.8775188
59,2 Av_0,4286.65962307
277,Fordham Rd_1,4234.04093732
225,Carroll St_0,4199.10716547
111,52 St_0,4166.12924197
351,Morris Park_0,4147.78300691
163,Astor Pl_0,4139.92754142
112,53 St_0,4128.15283379
141,8 Av_1,4081.17834309
36,161 St - Yankee Stadium_0,4067.38032894
99,45 St_0,4026.35023897
166,Atlantic Av - Barclays Ctr_0,3988.71697439
181,Bay Pkwy_2,3976.87023876
152,88 St_0,3936.12125328
48,176 St_0,3881.981088
282,Fort Hamilton Pkwy_2,3790.21492757
237,Church Av_2,3763.71327698
196,Bedford Park Blvd_0,3751.7158584
2,103 St_0,3721.0249215
355,Myrtle - Willoughby Avs_0,3707.95624783
350,Morgan Av_0,3653.85018268
235,Church Av_0,3633.24572005
431,Whitlock Av_0,3620.45178407
267,Elder Av_0,3607.03384333
347,Middle Village - Metropolitan Av_0,3596.53159736
60,20 Av_0,3587.26622507
391,Ralph Av_0,3573.09909766
75,238 St_0,3568.32232317
322,Jefferson St_0,3556.50674135
0,1 Av_0,3543.91391709
135,75 St_0,3503.03391214
5,104 St_0,3491.7140317
387,Prospect Av_1,3489.16008656
138,79 St_0,3467.85548013
328,Kings Hwy_2,3464.29764248
300,Greenpoint Av_0,3458.59278262
281,Fort Hamilton Pkwy_1,3442.15044085
333,Kosciuszko St_0,3435.02364493
3,103 St_1,3434.58363367
130,71 St_0,3432.58275278
61,20 Av_1,3419.85258254
352,Morrison Av- Sound View_0,3391.05402054
92,36 St_0,3387.37543574
358,Nassau Av_0,3378.60920925
299,Grant Av_0,3370.00917574
7,110 St_0,3349.04256461
179,Bay Pkwy_0,3335.61763763
303,Halsey St_0,3316.34265113
6,104 St_1,3316.31211086
123,66 St - Lincoln Center_0,3297.4114492
153,9 Av_0,3285.34958456
250,Crescent St_0,3282.15774527
283,Franklin Av_0,3272.01780891
410,Sutphin Blvd_0,3243.72587577
388,Prospect Park_0,3229.2898868
334,Lafayette Av_0,3222.07152422
226,Castle Hill Av_0,3200.30572757
202,Borough Hall_0,3181.48129238
371,Nostrand Av_0,3125.86443376
219,Burnside Av_0,3123.83741044
349,Montrose Av_0,3112.50388279
184,Baychester Av_0,3111.21803197
406,St Lawrence Av_0,3080.99158944
393,Rockaway Av_0,3077.83334827
365,New Utrecht Av_0,3073.67310788
242,Clinton - Washington Avs_0,3068.57432757
161,Aqueduct - N Conduit Av_0,3060.18702031
291,Gates Av_0,3058.61008021
368,Northern Blvd_0,3043.46904377
416,Union St_0,3041.68925538
51,18 Av_2,3030.31206176
39,167 St_1,3008.68051327
125,68 St - Hunter College_0,2991.32052015
57,190 St_0,2989.09340663
74,233 St_0,2972.33527196
239,Clark St_0,2946.35296593
293,Grand Army Plaza_0,2944.48241611
95,4 Av_0,2933.49213499
207,Brighton Beach_0,2914.34592323
339,Livonia Av_0,2894.81411639
83,3 Av_0,2881.74029276
331,Kingston - Throop Avs_0,2880.61520283
384,President St_0,2877.93627029
408,Sterling St_0,2875.90652
47,175 St_0,2863.0500882
319,Jamaica - Van Wyck_0,2857.84932741
395,Rockaway Blvd_0,2845.0476919
12,116 St_0,2831.27917508
56,183 St_0,2826.1162942
440,Zerega Av_0,2805.1187737
116,59 St - Columbus Circle_0,2782.80278173
401,Shepherd Av_0,2779.25131636
10,111 St_2,2753.13846146
424,W 8 St - NY Aquarium_0,2741.27966416
307,High St_0,2738.06228546
432,Wilson Av_0,2733.31789003
276,Fordham Rd_0,2730.73365258
244,Coney Island - Stillwell Av_0,2686.47183206
13,116 St_1,2685.36053132
197,Bergen St_0,2678.24470148
257,Ditmas Av_0,2667.04922708
266,Eastern Pkwy - Brooklyn Museum_0,2639.47893078
264,East Broadway_0,2596.22110492
357,Myrtle Av_0,2588.77242879
69,23 St_1,2570.0192512
423,W 4 St_0,2561.46688338
53,181 St_0,2552.36912522
173,Avenue P_0,2528.00159668
329,Kingsbridge Rd_0,2524.53007962
212,Broadway_0,2521.05878079
150,86 St_3,2519.26429944
33,155 St_0,2509.67877287
31,149 St - Grand Concourse_0,2500.32490477
41,168 St_0,2499.71696087
315,Inwood - 207 St_0,2492.66258629
172,Avenue N_0,2489.90038346
79,28 St_1,2482.43005697
298,Grand St_1,2481.44602372
370,Norwood Av_0,2430.45886618
85,33 St_0,2408.67777536
37,163 St - Amsterdam Av_0,2399.12684392
182,Bay Ridge - 95 St_0,2392.54969151
229,Central Park North (110 St)_0,2392.48719981
24,14 St - Union Sq_0,2392.2222646
67,225 St_0,2374.15194309
310,Hoyt - Schermerhorn Sts_0,2356.12026471
55,182-183 Sts_0,2354.32649742
76,25 Av_0,2336.81144754
58,191 St_0,2334.85330396
373,Ocean Pkwy_0,2313.35761128
383,Pennsylvania Av_0,2283.29761293
14,116 St_2,2281.48440934
214,Bronx Park East_0,2278.5860789
422,Vernon Blvd - Jackson Av_0,2270.98391064
280,Fort Hamilton Pkwy_0,2242.25525708
25,14 St_0,2217.97463283
263,E 180 St_0,2217.96154623
361,Nereid Av_0,2211.19138983
269,Essex St_0,2183.44643748
381,Pelham Pkwy_0,2181.24686377
382,Pelham Pkwy_1,2178.16056759
44,170 St_1,2175.61972307
290,Fulton St_2,2174.25208033
419,Van Siclen Av_0,2171.79895452
17,125 St_1,2153.0892469
316,Jackson Av_0,2151.34570329
86,33 St_1,2148.30053066
109,50 St_2,2143.82113547
228,Cathedral Pkwy_0,2137.40331144
227,Cathedral Pkwy (110 St)_0,2115.03928477
98,42 St - Port Authority Bus Terminal_0,2107.14763153
108,50 St_1,2097.4136762
295,Grand Central - 42 St_0,2095.00672138
81,3 Av - 138 St_0,2082.53096928
314,Intervale Av_0,2075.82629651
254,DeKalb Av_0,2067.05239282
94,39 Av_0,2065.28959706
160,Allerton Av_0,2064.44081227
363,New Lots Av_0,2023.27806397
249,Court St_0,2020.97487517
216,Brooklyn Bridge - City Hall_0,2005.43935431
62,207 St_0,2004.72065161
45,174 St_0,1993.95445586
20,135 St_0,1992.37204321
233,Chauncey St_0,1986.86406713
394,Rockaway Av_1,1970.45004047
65,215 St_0,1967.41440676
286,Freeman St_0,1960.05274911
402,Simpson St_0,1958.47357104
265,Eastchester - Dyre Av_0,1955.62606221
386,Prospect Av_0,1950.13038504
190,Beach 67 St_0,1935.33166606
234,Christopher St - Sheridan Sq_0,1921.7257139
122,65 St_0,1921.04996425
15,121 St_0,1914.50419607
429,Westchester Sq - E Tremont Av_0,1898.19144863
82,3 Av - 149 St_0,1882.36583578
241,Cleveland St_0,1879.21127103
186,Beach 25 St_0,1862.91855223
275,Flushing Av_1,1843.32759592
344,Marcy Av_0,1841.72125519
26,14 St_1,1840.35854505
66,219 St_0,1834.94405399
215,Brook Av_0,1834.10174465
418,Van Cortlandt Park - 242 St_0,1833.0314839
345,Metropolitan Av_0,1819.93438716
312,Hunters Point Av_0,1791.35594125
362,Nevins St_0,1778.79933112
187,Beach 36 St_0,1759.76864263
348,Middletown Rd_0,1750.6491887
11,116 St - Columbia University_0,1749.79141243
335,Lexington Av/53 St_0,1745.26896835
120,62 St_0,1743.49042021
218,Burke Av_0,1740.69554326
175,Avenue U_1,1731.96993576
77,25 St_0,1729.34342407
439,York St_0,1723.42994175
259,Dyckman St_1,1717.60832915
301,Gun Hill Rd_0,1708.38715864
217,Buhre Av_0,1703.98343628
46,174-175 Sts_0,1702.05904456
63,21 St - Queensbridge_0,1699.88300164
428,West Farms Sq - E Tremont Av_0,1686.44340018
403,Smith - 9 Sts_0,1675.86019053
274,Flushing Av_0,1651.99093195
70,23 St_2,1636.1328618
195,Bedford Park Blvd - Lehman College_0,1636.03802874
427,Wall St_1,1635.98807592
68,23 St_0,1624.95020897
52,18 St_0,1618.50517834
211,Broadway-Lafayette St_0,1610.13820753
16,125 St_0,1609.00049266
397,Roosevelt Island_0,1599.26598088
180,Bay Pkwy_1,1587.09355967
258,Dyckman St_0,1580.93719779
313,Hunts Point Av_0,1569.93675887
4,103 St_2,1560.36921117
40,168 St - Washington Hts_0,1558.68847482
35,157 St_0,1543.68449952
327,Kings Hwy_1,1513.74699152
412,Sutter Av_0,1512.51245022
149,86 St_2,1504.78505714
353,Mosholu Pkwy_0,1493.39488361
262,E 149 St_0,1490.2771357
336,Lexington Av/59 St_0,1490.01077377
297,Grand St_0,1489.92556772
158,96 St_2,1470.97519435
306,Hewes St_0,1468.45325432
132,72 St_1,1467.30635822
420,Van Siclen Av_1,1463.58423853
309,Howard Beach - JFK Airport_0,1453.71925066
114,57 St - 7 Av_0,1436.11719667
189,Beach 60 St_0,1414.96689665
107,50 St_0,1392.54586659
174,Avenue U_0,1381.10182724
337,Lexington Av/63 St_0,1377.83230271
140,8 Av_0,1362.07996719
210,Broadway Jct_0,1345.48429102
341,Lorimer St_0,1329.34200591
22,137 St - City College_0,1303.31850749
50,18 Av_1,1289.7970315
119,6 Av_0,1282.91448334
253,Cypress Hills_0,1265.17664241
113,55 St_0,1264.82975548
117,59 St_0,1252.16736278
321,Jay St - MetroTech_0,1247.29816762
421,Van Siclen Av_2,1230.18564317
220,Bushwick Av - Aberdeen St_0,1212.82984058
110,51 St_0,1208.90215312
415,Union Sq - 14 St_0,1205.38801513
376,Park Pl_1,1198.81300634
34,155 St_1,1195.03173909
413,Times Sq - 42 St_0,1188.6330677
29,145 St_1,1187.12751716
324,Junius St_0,1178.35998448
308,Houston St_0,1174.32223896
178,Bay 50 St_0,1164.03672542
78,28 St_0,1145.48361694
425,Wakefield - 241 St_0,1139.72995854
30,145 St_2,1137.36331386
177,Avenue X_0,1132.38892448
221,Canal St_0,1131.44269182
142,8 St - NYU_0,1115.32709262
201,Bleecker St_0,1107.09513946
71,23 St_3,1090.71614436
340,Longwood Av_0,1089.31716719
271,Far Rockaway - Mott Av_0,1081.1274279
203,Botanic Garden_0,1080.2338008
252,Cypress Av_0,1062.41895163
90,34 St - Penn Station_1,1046.2321575
144,81 St - Museum of Natural History_0,1028.31829323
223,Canal St_2,1021.98193286
167,Atlantic Av_0,1019.73849483
396,Rockaway Park - Beach 116 St_0,980.169275411
169,Avenue I_0,946.761674613
296,Grand Central - 42 St_1,938.63238212
289,Fulton St_1,919.977322232
343,Marble Hill - 225 St_0,911.929521321
230,Chambers St_0,909.737230811
311,Hoyt St_0,887.474531656
222,Canal St_1,879.803223923
380,Pelham Bay Park_0,873.775954584
185,Beach 105 St_0,864.655087973
360,Neptune Av_0,857.254535861
385,Prince St_0,834.920046715
405,Spring St_1,834.08395268
159,Alabama Av_0,829.065442217
93,36 St_1,817.590558269
87,34 St - 11 Av_0,812.86031509
338,Liberty Av_0,812.678095571
23,138 St - Grand Concourse_0,800.374141802
127,7 Av_0,800.329197356
162,Aqueduct Racetrack_0,795.669410757
261,E 143 St - St Mary's St_0,790.357430481
390,Queensboro Plaza_0,774.055051087
192,Beach 98 St_0,758.461336504
288,Fulton St_0,741.113815081
204,Bowery_0,724.615370485
392,Rector St_0,722.891275753
232,Chambers St_2,722.876329232
72,23 St_4,686.962533473
188,Beach 44 St_0,685.886159786
80,28 St_2,658.656635166
436,Woodlawn_0,640.241772332
27,14 St_2,622.926815207
89,34 St - Penn Station_0,619.52577117
426,Wall St_0,614.231810208
404,Spring St_0,606.676479083
305,Harlem - 148 St_0,595.710323912
285,Franklin St_0,587.953899144
191,Beach 90 St_0,561.169520093
248,Court Sq_0,530.054442687
64,21 St_0,529.316468045
88,34 St - Herald Sq_0,480.653780933
205,Bowling Green_0,399.853532275
208,Broad Channel_0,368.483310628
103,49 St_0,360.946767261
438,World Trade Center_0,340.0810042
115,57 St_0,338.867723919
231,Chambers St_1,329.593960455
209,Broad St_0,314.752707242
102,47-50 Sts - Rockefeller Ctr_0,261.531013237
106,5 Av_0,242.243981276
375,Park Pl_0,235.787662034
247,Cortlandt St_1,225.456713429
246,Cortlandt St_0,217.641651282
105,5 Av/59 St_0,201.262218034
104,5 Av/53 St_0,171.431999654
238,City Hall_0,156.19440401
97,42 St - Bryant Pk_0,76.9238174965
389,Queens Plaza_0,67.4128934901
430,Whitehall St_0,21.0211367769
